order_id,customer_id,pizza_id,exclusions,extras,order_date,order_time
1,101,1,,,01-01-2021,18:05:02
2,101,1,,,01-01-2021,19:00:52
3,102,1,,,02-01-2021,23:51:23
3,102,2,,,02-01-2021,23:51:23
4,103,1,4,,04-01-2021,13:23:46
4,103,1,4,,04-01-2021,13:23:46
4,103,2,4,,04-01-2021,13:23:46
5,104,1,,1,08-01-2021,21:00:29
6,101,2,,,08-01-2021,21:03:13
7,105,2,,1,08-01-2021,21:20:29
8,102,1,,,09-01-2021,23:54:33
9,103,1,4,"1, 5",10-01-2021,11:22:59
10,104,1,,,11-01-2021,18:34:49
10,104,1,"2, 6","1, 4",11-01-2021,18:34:49
